RecordDate,RecordMonth,CustomerGroup,Location,Revenue
2022-12-03,2022-12-01,Unranked,Location 03,138112249.8
2022-12-03,2022-12-01,Unranked,Location 04,266352360.6
2022-12-03,2022-12-01,Unranked,Location 06,250571944.5
2022-12-03,2022-12-01,Unranked,Location 07,49061028.3
2022-12-03,2022-12-01,Unranked,Location 08,367026527.70000005
2022-12-03,2022-12-01,Unranked,Location 09,38097722.1
2022-12-03,2022-12-01,Unranked,Location 10,5694472.2
2022-12-03,2022-12-01,Unranked,Location 11,65456361.3
2022-12-03,2022-12-01,Unranked,Location 12,307062168.0
2022-12-03,2022-12-01,Unranked,Location 13,101619277.8
2022-12-03,2022-12-01,Unranked,Location 14,720830778.3
2022-12-03,2022-12-01,Unranked,Location 16,408703137.90000004
2022-12-03,2022-12-01,Unranked,Location 17,37652805.6
2022-12-04,2022-12-01,Bronze,Location 01,699345945.0
2022-12-04,2022-12-01,Bronze,Location 02,1776210918.0000002
2022-12-04,2022-12-01,Bronze,Location 03,3559886916.6
2022-12-04,2022-12-01,Bronze,Location 04,5339033518.2
2022-12-04,2022-12-01,Bronze,Location 06,1267932805.5
2022-12-04,2022-12-01,Bronze,Location 07,1621990250.1000001
2022-12-04,2022-12-01,Bronze,Location 08,297196916.70000005
2022-12-04,2022-12-01,Bronze,Location 09,2075483583.3000002
2022-12-04,2022-12-01,Bronze,Location 10,112446472.2
2022-12-04,2022-12-01,Bronze,Location 11,1345331528.7
2022-12-04,2022-12-01,Bronze,Location 12,8553513916.799999
2022-12-04,2022-12-01,Bronze,Location 13,2804844695.1
2022-12-04,2022-12-01,Bronze,Location 14,5167144416.6
2022-12-04,2022-12-01,Bronze,Location 15,977750.1
2022-12-04,2022-12-01,Bronze,Location 16,4239549639.3
2022-12-04,2022-12-01,Bronze,Location 17,1793840110.2
2022-12-04,2022-12-01,Diamond,Location 01,1594047416.7
2022-12-04,2022-12-01,Diamond,Location 02,1037405156.6999999
2022-12-04,2022-12-01,Diamond,Location 03,16975155670.2
2022-12-04,2022-12-01,Diamond,Location 04,31314389345.4
2022-12-04,2022-12-01,Diamond,Location 07,4765777194.0
2022-12-04,2022-12-01,Diamond,Location 09,5635172304.599999
2022-12-04,2022-12-01,Diamond,Location 10,74546889.0
2022-12-04,2022-12-01,Diamond,Location 11,3098658805.5
2022-12-04,2022-12-01,Diamond,Location 12,15248190111.6
2022-12-04,2022-12-01,Diamond,Location 13,7856694695.1
2022-12-04,2022-12-01,Diamond,Location 14,14576748860.4
2022-12-04,2022-12-01,Diamond,Location 15,7728373970.100001
2022-12-04,2022-12-01,Diamond,Location 16,4855938010.5
2022-12-04,2022-12-01,Diamond,Location 17,1264516389.3
2022-12-04,2022-12-01,Gold,Location 01,345993027.6
2022-12-04,2022-12-01,Gold,Location 02,559850694.6
2022-12-04,2022-12-01,Gold,Location 03,3605597721.9
2022-12-04,2022-12-01,Gold,Location 04,2931218312.7000003
2022-12-04,2022-12-01,Gold,Location 06,107491916.7
2022-12-04,2022-12-01,Gold,Location 07,551030722.1999999
2022-12-04,2022-12-01,Gold,Location 08,15892916.7
2022-12-04,2022-12-01,Gold,Location 09,1728384194.3999999
2022-12-04,2022-12-01,Gold,Location 10,75282416.7
2022-12-04,2022-12-01,Gold,Location 11,436904555.7
2022-12-04,2022-12-01,Gold,Location 12,5655124443.900001
2022-12-04,2022-12-01,Gold,Location 13,2017175277.8999999
2022-12-04,2022-12-01,Gold,Location 14,3181162861.8
2022-12-04,2022-12-01,Gold,Location 16,1975158277.8
2022-12-04,2022-12-01,Gold,Location 17,608460861.3
2022-12-04,2022-12-01,Iron,Location 01,386951834.09999996
2022-12-04,2022-12-01,Iron,Location 02,1221837167.1
2022-12-04,2022-12-01,Iron,Location 03,967429888.8
2022-12-04,2022-12-01,Iron,Location 04,2005776222.3
2022-12-04,2022-12-01,Iron,Location 06,1348940194.5
2022-12-04,2022-12-01,Iron,Location 07,713498306.1
2022-12-04,2022-12-01,Iron,Location 08,992606250.0
2022-12-04,2022-12-01,Iron,Location 09,741609222.0
2022-12-04,2022-12-01,Iron,Location 10,31858305.6
2022-12-04,2022-12-01,Iron,Location 11,765980971.2
2022-12-04,2022-12-01,Iron,Location 12,2266621502.1
2022-12-04,2022-12-01,Iron,Location 13,1484618331.3
2022-12-04,2022-12-01,Iron,Location 14,1577538914.7
2022-12-04,2022-12-01,Iron,Location 16,2790240306.0
2022-12-04,2022-12-01,Iron,Location 17,1165988833.2
2022-12-04,2022-12-01,Platinum,Location 01,78982833.3
2022-12-04,2022-12-01,Platinum,Location 02,270250333.2
2022-12-04,2022-12-01,Platinum,Location 03,2681037441.9
2022-12-04,2022-12-01,Platinum,Location 04,2577818114.7
2022-12-04,2022-12-01,Platinum,Location 06,34089361.2
2022-12-04,2022-12-01,Platinum,Location 07,209036388.9
2022-12-04,2022-12-01,Platinum,Location 09,1127855083.5
2022-12-04,2022-12-01,Platinum,Location 10,33208333.2
2022-12-04,2022-12-01,Platinum,Location 11,305873472.6
2022-12-04,2022-12-01,Platinum,Location 12,2640547165.8
2022-12-04,2022-12-01,Platinum,Location 13,754499055.9
2022-12-04,2022-12-01,Platinum,Location 14,1387585500.0
2022-12-04,2022-12-01,Platinum,Location 16,979969472.4000001
2022-12-04,2022-12-01,Platinum,Location 17,265701916.8
2022-12-04,2022-12-01,Silver,Location 01,191958777.9
2022-12-04,2022-12-01,Silver,Location 02,565040860.5
2022-12-04,2022-12-01,Silver,Location 03,1852547222.1
2022-12-04,2022-12-01,Silver,Location 04,2350220859.9
2022-12-04,2022-12-01,Silver,Location 06,259433277.9
2022-12-04,2022-12-01,Silver,Location 07,487034499.90000004
2022-12-04,2022-12-01,Silver,Location 08,24040916.700000003
2022-12-04,2022-12-01,Silver,Location 09,991751388.9
2022-12-04,2022-12-01,Silver,Location 10,59704638.9
2022-12-04,2022-12-01,Silver,Location 11,282457944.9
2022-12-04,2022-12-01,Silver,Location 12,3762336749.7000003
2022-12-04,2022-12-01,Silver,Location 13,1378112306.4
2022-12-04,2022-12-01,Silver,Location 14,2306106777.0
2022-12-04,2022-12-01,Silver,Location 16,1442283277.5
2022-12-04,2022-12-01,Silver,Location 17,394812527.1
2022-12-04,2022-12-01,Unranked,Location 01,37264722.6
2022-12-04,2022-12-01,Unranked,Location 02,301964777.7
2022-12-04,2022-12-01,Unranked,Location 03,280510833.6
2022-12-04,2022-12-01,Unranked,Location 04,345879220.5
2022-12-04,2022-12-01,Unranked,Location 06,216022666.8
2022-12-04,2022-12-01,Unranked,Location 07,100862139.0
2022-12-04,2022-12-01,Unranked,Location 08,555930027.9000001
2022-12-04,2022-12-01,Unranked,Location 09,61812333.6
2022-12-04,2022-12-01,Unranked,Location 10,1708361.1
2022-12-04,2022-12-01,Unranked,Location 11,113398222.5
2022-12-04,2022-12-01,Unranked,Location 12,622507444.8
2022-12-04,2022-12-01,Unranked,Location 13,166596166.2
2022-12-04,2022-12-01,Unranked,Location 14,1081186584.3
2022-12-04,2022-12-01,Unranked,Location 16,739443804.3
2022-12-04,2022-12-01,Unranked,Location 17,100569416.7
2022-12-05,2022-12-01,Bronze,Location 01,877534860.6
2022-12-05,2022-12-01,Bronze,Location 02,2210050667.4
2022-12-05,2022-12-01,Bronze,Location 03,4744270944.6
2022-12-05,2022-12-01,Bronze,Location 04,7051142088.3
2022-12-05,2022-12-01,Bronze,Location 06,1592740555.5
2022-12-05,2022-12-01,Bronze,Location 07,2030615221.5
2022-12-05,2022-12-01,Bronze,Location 08,578564055.5999999
2022-12-05,2022-12-01,Bronze,Location 09,2734162833.6
2022-12-05,2022-12-01,Bronze,Location 10,112526388.9
2022-12-05,2022-12-01,Bronze,Location 11,1779994111.5
2022-12-05,2022-12-01,Bronze,Location 12,11777063499.300001
2022-12-05,2022-12-01,Bronze,Location 13,3946022110.2
2022-12-05,2022-12-01,Bronze,Location 14,7009022888.7
2022-12-05,2022-12-01,Bronze,Location 15,1944388.8
2022-12-05,2022-12-01,Bronze,Location 16,5381243862.3
2022-12-05,2022-12-01,Bronze,Location 17,2314630334.1
2022-12-05,2022-12-01,Diamond,Location 01,2367210528.0
2022-12-05,2022-12-01,Diamond,Location 02,1436848726.2
2022-12-05,2022-12-01,Diamond,Location 03,25301913024.6
2022-12-05,2022-12-01,Diamond,Location 04,46445886122.1
2022-12-05,2022-12-01,Diamond,Location 07,6467102361.9
2022-12-05,2022-12-01,Diamond,Location 09,7142397917.7
2022-12-05,2022-12-01,Diamond,Location 10,69674833.19999999
2022-12-05,2022-12-01,Diamond,Location 11,4504445027.7
2022-12-05,2022-12-01,Diamond,Location 12,20768118723.9
2022-12-05,2022-12-01,Diamond,Location 13,10013166861.6
2022-12-05,2022-12-01,Diamond,Location 14,19774619777.7
2022-12-05,2022-12-01,Diamond,Location 15,11309930841.3
2022-12-05,2022-12-01,Diamond,Location 16,6424145027.1
2022-12-05,2022-12-01,Diamond,Location 17,1645152972.0
2022-12-05,2022-12-01,Gold,Location 01,288746083.5
2022-12-05,2022-12-01,Gold,Location 02,494869166.40000004
2022-12-05,2022-12-01,Gold,Location 03,4990161444.6
2022-12-05,2022-12-01,Gold,Location 04,4135218199.5
2022-12-05,2022-12-01,Gold,Location 06,170464027.79999998
2022-12-05,2022-12-01,Gold,Location 07,629497999.8
2022-12-05,2022-12-01,Gold,Location 08,23988444.3
2022-12-05,2022-12-01,Gold,Location 09,2578611888.9
2022-12-05,2022-12-01,Gold,Location 10,145354194.3
2022-12-05,2022-12-01,Gold,Location 11,398240778.0
2022-12-05,2022-12-01,Gold,Location 12,7867409999.7
2022-12-05,2022-12-01,Gold,Location 13,2728087583.7
2022-12-05,2022-12-01,Gold,Location 14,4462652861.400001
2022-12-05,2022-12-01,Gold,Location 16,2525620472.1
2022-12-05,2022-12-01,Gold,Location 17,847271139.6
2022-12-05,2022-12-01,Iron,Location 01,481978582.5
2022-12-05,2022-12-01,Iron,Location 02,1577169861.3000002
